N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
14,0.53983,0.7854,0.0,4.26452487994757,0.0004628656158447,343,20,5
14,0.56429,0.7854,0.0,4.264076290973048,0.0012248674905631,343,22,3
14,0.58874,0.7854,0.0,4.263697911085711,0.0016945135677843,343,23,2
14,0.6132,0.7854,0.0,4.259815007142178,0.0054265241315956,343,24,1
14,0.63766,0.7854,0.0,4.245712910546075,0.0187106338210205,343,24,1
14,0.66211,0.7854,0.0,4.17216488218168,0.0763960369109355,343,25,0
14,0.68657,0.7854,0.0,4.150547056600379,0.0811732087949134,343,23,2
14,0.71103,0.7854,0.0,4.000564784330283,0.1119295969386929,343,25,0
14,0.73548,0.7854,0.0,3.8461324088757136,0.08450544899255,343,22,3
14,0.75994,0.7854,0.0,1.897153089831891,1.7889308602410268,343,25,0
14,0.7844,0.7854,0.0,2.110927054252344,1.733619082545324,343,25,0
13,0.001,0.7854,0.5,0.0002136294154951,0.0002314295789549,171,21,4
13,0.02546,0.7854,0.5,0.0411782123980048,0.0273104285381259,171,22,3
13,0.04991,0.7854,0.5,0.1628036607970303,0.0666822478195249,171,25,0
13,0.07437,0.7854,0.5,0.4082943296602693,0.1328477611095654,171,25,0
13,0.09883,0.7854,0.5,0.6148569835610828,0.1199476185122066,171,25,0
13,0.12328,0.7854,0.5,1.0703433577479184,0.1808699364031566,171,25,0
13,0.14774,0.7854,0.5,1.671561521391709,0.1763738944054408,171,25,0
13,0.1722,0.7854,0.5,2.2692958605102755,0.1299543202429598,171,24,1
13,0.19665,0.7854,0.5,2.77011675783198,0.1122655129896841,171,24,1
13,0.22111,0.7854,0.5,3.20501903374642,0.1061093816915695,171,25,0
13,0.24557,0.7854,0.5,3.4547560688206,0.0427769886795349,171,25,0
13,0.27002,0.7854,0.5,3.582976736078258,0.0193308347535017,171,23,2
13,0.29448,0.7854,0.5,3.669935180743406,0.0186407857682512,171,25,0
13,0.31894,0.7854,0.5,3.72022036001884,0.0085659678263249,171,25,0
13,0.34339,0.7854,0.5,3.7465499025784426,0.008869867091857,171,25,0
13,0.36785,0.7854,0.5,3.76607664582272,0.0046827072906736,171,24,1
13,0.39231,0.7854,0.5,3.780528348080754,0.0058212551526209,171,25,0
13,0.41755,0.7854,0.5,3.789784277788428,0.0040215552428642,171,25,0
13,0.44201,0.7854,0.5,3.7948553316946976,0.0029637938924369,171,25,0
13,0.46646,0.7854,0.5,3.79773084413748,0.0021935848025773,171,25,0
13,0.49092,0.7854,0.5,3.799978152006202,0.0023670681377595,171,25,0
13,0.51538,0.7854,0.5,3.801299014649548,0.0015610200396333,171,25,0
13,0.53983,0.7854,0.5,3.8020517639857663,0.0016333809427827,171,25,0
13,0.56429,0.7854,0.5,3.8024453570643626,0.0012336773004383,171,25,0
13,0.58874,0.7854,0.5,3.800521256411389,0.0020507610030739,171,25,0
13,0.6132,0.7854,0.5,3.796484850629199,0.0042952797358312,171,24,1
13,0.63766,0.7854,0.5,3.792204546137184,0.0059853944244991,171,22,3
13,0.66211,0.7854,0.5,3.749480373488268,0.0391880201673111,171,25,0
13,0.68657,0.7854,0.5,3.683678281688849,0.0727414095145637,171,25,0
13,0.71103,0.7854,0.5,3.5067179985915105,0.0843898500393356,171,25,0
13,0.73548,0.7854,0.5,3.221475449062138,0.129921836274108,171,25,0
13,0.75994,0.7854,0.5,2.907332087397493,0.1263867089157697,171,24,1
13,0.7844,0.7854,0.5,2.774382429494203,0.0949262336967411,171,22,3
12,0.001,0.7854,0.0,7.652342389334074e-05,4.8652730128360685e-05,92,20,5
12,0.02546,0.7854,0.0,0.09650402718528407,0.06744372762227543,92,24,1
12,0.04991,0.7854,0.0,0.19185222697352067,0.07870642458394286,92,24,1
12,0.07437,0.7854,0.0,0.3521874832214415,0.12492887211159921,92,24,1
12,0.09883,0.7854,0.0,0.6251283935278794,0.13780891802484765,92,24,1
12,0.12328,0.7854,0.0,1.0243050973035634,0.16418242246284984,92,24,1
12,0.14774,0.7854,0.0,1.4260639564552011,0.16687123652302596,92,25,0
12,0.1722,0.7854,0.0,1.9524055967119867,0.22631831259030571,92,25,0
12,0.19665,0.7854,0.0,2.493694778380645,0.10876921947284121,92,25,0
