N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
15,0.63766,0.7854,PBC,0.5,POLFED,4.49405131407159,0.002036549798683669,643,17
15,0.24557,0.7854,PBC,0.5,POLFED,3.979829307577682,0.9925047431789654,643,18
15,0.04991,0.7854,PBC,0.5,POLFED,0.18126910887479555,0.09147939045620787,643,16
15,0.02546,0.7854,PBC,0.5,POLFED,0.10270826067037694,0.06600685281665433,643,15
15,0.68657,0.7854,PBC,0.5,POLFED,4.2129862696348095,0.897590712087946,643,17
15,0.19665,0.7854,PBC,0.5,POLFED,3.6301898457835544,0.3816698738681359,643,19
15,0.41755,0.7854,PBC,0.5,POLFED,4.491118755060551,0.001298317694323485,643,17
15,0.1722,0.7854,PBC,0.5,POLFED,2.7655728822208623,0.9130594351291946,643,17
15,0.58874,0.7854,PBC,0.5,POLFED,4.496624915041283,0.0003300197695071481,643,17
15,0.44201,0.7854,PBC,0.5,POLFED,4.49350009234078,0.00083242962298745,643,18
15,0.22111,0.7854,PBC,0.5,POLFED,4.022509160087298,0.21394465463035903,643,19
15,0.7844,0.7854,PBC,0.5,POLFED,0.5278677872944285,1.3457308130617875,643,15
15,0.39231,0.7854,PBC,0.5,POLFED,4.486246146154398,0.0018539662218909402,643,16
15,0.31894,0.7854,PBC,0.5,POLFED,4.099465891454644,1.0912983432100116,643,19
15,0.29448,0.7854,PBC,0.5,POLFED,4.263726804796866,0.660492461713973,643,19
15,0.53983,0.7854,PBC,0.5,POLFED,3.9631154985256507,1.2512605576582392,643,18
15,0.71103,0.7854,PBC,0.5,POLFED,4.303110008167904,0.24533087031454445,643,17
15,0.46646,0.7854,PBC,0.5,POLFED,4.3401080749843794,0.655635355636842,643,19
15,0.34339,0.7854,PBC,0.5,POLFED,4.467792788639263,0.005325629354924059,643,18
15,0.6132,0.7854,PBC,0.5,POLFED,4.088917358637026,1.1805763471960353,643,19
15,0.36785,0.7854,PBC,0.5,POLFED,4.480018639020346,0.003178388968800518,643,18
15,0.12328,0.7854,PBC,0.5,POLFED,1.4014017006390374,0.37961888360140567,643,18
15,0.51538,0.7854,PBC,0.5,POLFED,4.291021673653327,0.8474381288129833,643,18
15,0.07437,0.7854,PBC,0.5,POLFED,0.3171254718895912,0.18514190744246264,643,16
15,0.66211,0.7854,PBC,0.5,POLFED,4.2759661406582685,0.8507446993889185,643,18
15,0.75994,0.7854,PBC,0.5,POLFED,1.6377739679157446,1.6767164110387616,643,15
15,0.09883,0.7854,PBC,0.5,POLFED,0.7030344843998402,0.2073785769106043,643,17
15,0.56429,0.7854,PBC,0.5,POLFED,4.4968183410629425,0.0005296846488964017,643,17
15,0.27002,0.7854,PBC,0.5,POLFED,4.153579392509282,0.9131998727840256,643,19
15,0.14774,0.7854,PBC,0.5,POLFED,2.151351617113004,0.2026018369048219,643,18
15,0.49092,0.7854,PBC,0.5,POLFED,4.300193043271249,0.8069924646033966,643,18
15,0.001,0.7854,PBC,0.5,POLFED,0.0037136662841227045,0.010363490481040013,643,13
15,0.73548,0.7854,PBC,0.5,POLFED,2.553574067685539,1.9084143112065763,643,16
