J,Jz,sff
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 5.19426541e-006 2.33104597e-006 6.02788162e-006
 3.73648830e-008 1.71168817e-004 8.83095096e-005 2.96635190e-004
 3.74861517e-005 6.23082822e-004 1.35400098e-003 6.09642228e-006
 3.22270830e-003 1.94316575e-004 6.97656678e-004 3.08579842e-004
 6.88294679e-003 2.95788754e-003 4.23222243e-004 2.48055591e-003
 8.89010560e-004 1.30439480e-003 1.79759937e-003 7.35252028e-004
 3.72589884e-004 1.78687047e-003 1.00330595e-002 4.62180046e-004
 8.40135777e-004 1.21717580e-003 6.06875933e-004 1.25681824e-005
 2.01741910e-004 9.96803561e-006 1.11887858e-004 2.71836518e-004
 5.37696412e-004 1.86035118e-004 3.57161128e-005 6.31007320e-004
 5.37612994e-003 1.67543427e-003 2.78444457e-003 1.23116658e-003
 2.72832618e-005 1.07293975e-003 1.16148411e-004 1.09742918e-003
 2.16054695e-005 3.27182674e-003 4.63874443e-003 9.84618689e-006
 4.08858833e-004 2.58423940e-002 4.84917669e+000 4.09400963e+005
 3.36636684e+016 4.77538819e+039 5.30766814e+083 1.19678606e+176]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 1.58060427e-004 2.24183573e-005 7.41298334e-005
 3.33320469e-003 3.44241087e-005 1.47681371e-005 1.10384522e-003
 1.66906906e-003 5.42341139e-006 2.83669045e-005 6.71855385e-004
 1.30029323e-003 4.95862779e-004 3.81320449e-003 4.94603504e-003
 2.95422862e-003 1.01545317e-002 6.12339618e-004 2.20513329e-003
 1.19444890e-003 1.87778125e-003 1.16820648e-003 4.20318183e-003
 3.73222879e-005 5.73709891e-003 1.91232072e-003 2.51237080e-004
 2.98419490e-004 6.03141254e-004 8.12948345e-003 7.16574109e-005
 1.39912179e-003 4.33288609e-003 5.03098522e-004 3.13789814e-003
 2.13321494e-005 5.46883530e-004 4.97101150e-003 4.54523131e-003
 3.88118405e-004 1.54636918e-003 3.09920718e-003 4.67576409e-005
 1.89983432e-003 5.26532141e-004 2.28186309e-004 4.87566038e-004
 7.64234423e-004 4.85978534e-005 7.29107388e-004 3.91992097e-004
 3.88910882e-004 9.26706250e-003 6.23439572e-001 6.02343058e+006
 1.12409045e+019 3.02473660e+044 6.68813572e+094 3.82281397e+195]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 8.24048592e-004 1.23670113e-005 1.32678875e-004
 1.55594225e-004 1.05516692e-005 4.86601824e-007 9.61159869e-006
 4.49680999e-003 2.58337886e-003 1.11473742e-003 5.55745202e-005
 6.48626881e-005 1.95859203e-006 7.46837679e-006 7.03149644e-003
 8.11731357e-007 2.04761003e-004 1.65337845e-003 8.00583191e-006
 9.09560510e-007 2.69336678e-004 8.96179502e-004 8.72132759e-006
 2.21911136e-004 8.69446377e-004 2.87116052e-003 2.06706587e-003
 3.23419697e-004 1.58933989e-003 7.46708701e-005 2.39406128e-003
 1.91116104e-004 4.59976720e-004 3.03735542e-004 5.16072192e-005
 2.12481311e-003 1.85282695e-003 3.98585692e-004 2.23607511e-003
 5.94673959e-004 3.85435594e-006 1.97662309e-004 1.50539508e-005
 2.91659421e-005 4.09690096e-004 3.68685477e-004 1.68675065e-005
 2.15923210e-003 2.30561758e-003 8.75596971e-004 3.23439307e-004
 1.07087964e-002 4.27304025e-001 4.02385536e+002 8.84351057e+010
 6.63192350e+025 9.57015255e+057 2.57834015e+122 5.44473471e+250]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 1.61794273e-005 1.25805484e-004 2.84704784e-005
 7.09615218e-006 4.66401967e-004 1.37617284e-007 7.17256141e-005
 5.20891237e-003 1.49220698e-005 4.58602846e-004 6.03502588e-004
 1.88626025e-005 2.71458385e-006 2.07909973e-006 6.68560335e-003
 1.41475683e-003 4.79257131e-004 9.37542700e-004 3.84402022e-003
 8.05435472e-005 1.06546407e-003 1.47952673e-004 1.06227907e-006
 2.45325502e-003 1.10349786e-005 7.19724081e-005 5.03688520e-004
 2.00477590e-005 1.45265958e-003 3.64129768e-004 8.01329381e-003
 6.82335601e-004 6.65171465e-003 1.61217279e-003 2.43773067e-003
 3.41986470e-004 5.20882883e-004 1.43056118e-003 2.20492475e-005
 1.05497467e-003 2.19484190e-003 2.45817776e-003 1.14844858e-003
 1.18078221e-004 3.79236828e-003 1.93040881e-003 4.65412669e-004
 6.07694148e-004 2.23108181e-004 7.32936893e-006 1.93768013e-003
 7.26610937e-004 1.37256060e-001 1.16410897e+001 2.57977788e+009
 1.74995916e+024 4.24667180e+054 1.57359826e+115 2.11696787e+236]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 1.13206418e-003 5.67971712e-003 6.02997466e-005
 6.24715335e-007 1.71585927e-004 3.68494201e-004 1.59612444e-004
 2.04274272e-004 1.16305835e-003 1.02635191e-004 1.84139157e-003
 2.84643539e-004 1.37097126e-003 4.10087241e-003 1.63768309e-004
 4.49747164e-003 2.23728220e-003 1.15593280e-006 9.30590638e-006
 3.60877972e-003 4.07190701e-005 7.75023101e-003 1.44184421e-005
 1.35942959e-004 1.57576022e-003 1.26476028e-003 4.96878156e-004
 8.57908365e-004 1.85449429e-003 3.14794370e-005 1.27436900e-003
 9.53468718e-004 5.16049729e-004 1.42630421e-004 1.63723047e-003
 4.40559803e-004 2.02079655e-005 7.33394859e-003 1.38598082e-003
 8.71677409e-003 1.98201935e-004 9.35033676e-004 1.19615938e-004
 2.43971841e-003 4.14416726e-004 1.08137260e-004 7.06711469e-005
 1.08105719e-003 2.40347151e-004 1.92705266e-003 7.09427945e-003
 9.62052729e-003 1.34881059e-001 1.80982732e+002 5.55885773e+009
 3.69098590e+026 2.42460784e+059 4.57104166e+124 1.78253396e+255]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 4.00908437e-005 4.03121823e-006 2.59525340e-004
 1.11792850e-004 1.96804248e-003 4.53945412e-004 2.14122114e-004
 1.40554102e-005 4.81264850e-005 3.78471395e-004 2.64133524e-003
 3.29871178e-004 1.08275893e-004 1.70179454e-007 1.23172103e-003
 3.52217800e-004 1.11517354e-004 1.08226669e-005 1.19680705e-003
 1.03189514e-004 5.87088752e-003 4.73106869e-006 1.03221184e-003
 8.05758554e-004 2.15220393e-005 2.69925909e-004 3.09277573e-004
 6.41332585e-004 1.27638704e-003 4.38384938e-003 2.42725780e-003
 2.35082326e-006 7.10130310e-004 4.35170057e-007 1.52161958e-003
 2.53338169e-004 6.42950803e-004 5.09114160e-004 2.39448839e-005
 2.61567417e-003 4.84440680e-005 1.82893673e-006 3.17281186e-003
 1.09218938e-004 5.04403916e-004 1.72979920e-004 3.30322036e-004
 2.42693174e-003 3.68753957e-004 6.72093403e-005 7.33602519e-004
 5.08472514e-004 2.71377307e-002 1.40724321e+001 4.58202894e+008
 1.61651034e+021 8.41844198e+049 2.85511674e+105 8.17874543e+216]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 1.38665394e-005 2.13928885e-005 2.40415623e-003
 8.34640819e-003 1.12130990e-005 3.05342359e-003 2.45046127e-004
 2.32636698e-005 3.51913457e-007 2.56107289e-003 5.80877562e-004
 2.77592109e-011 8.12598515e-005 7.55798273e-004 2.82448287e-004
 1.24514951e-003 2.66369933e-003 1.83431817e-003 3.38267328e-004
 2.59851443e-004 9.00825307e-004 2.36627513e-003 6.02643336e-004
 1.83745961e-003 1.40717111e-003 3.07713413e-004 5.27465862e-005
 1.38466387e-003 8.78349522e-004 2.40358597e-007 7.04787611e-004
 3.19575709e-004 1.75403909e-003 1.88146685e-004 7.45913644e-003
 5.72023309e-006 3.46700896e-003 2.02417470e-003 2.95559419e-004
 3.12124257e-004 6.25788939e-004 3.26287029e-004 3.38168503e-003
 4.02582026e-004 7.54922139e-004 1.65860003e-004 9.82256105e-004
 2.59145089e-003 1.41984844e-003 2.23965141e-003 5.35098980e-004
 1.83547039e-003 6.07735644e-003 1.11565438e-001 3.23636430e+003
 3.08149141e+012 3.15462621e+030 6.75951519e+066 3.85293991e+139]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 9.64804625e-004 1.44268564e-004 5.53526461e-005
 6.34394198e-007 7.22945256e-007 3.42794040e-004 6.88075285e-004
 2.53023233e-003 1.14608546e-004 1.72408401e-007 2.84784174e-003
 4.12732175e-007 3.92119838e-004 4.01759845e-004 2.75943980e-004
 2.74582818e-004 2.73665758e-003 8.47425327e-005 3.90594962e-003
 5.08884430e-005 3.74641016e-005 1.50087319e-003 1.47673320e-004
 1.11689134e-004 1.99587891e-003 8.86264319e-004 6.44851932e-006
 3.32480698e-004 2.21949385e-004 2.83656042e-003 4.03198717e-006
 1.66174742e-005 2.50909997e-005 2.85788514e-004 1.55060482e-005
 6.25098173e-004 8.69110902e-005 3.31536101e-003 1.31204256e-003
 2.02850188e-004 5.88527770e-004 3.83661124e-004 1.59609107e-003
 1.02885252e-003 3.42589772e-004 1.44058044e-003 2.58544745e-006
 1.07834282e-003 9.55746897e-004 4.44799661e-004 2.58015292e-004
 6.12375372e-004 4.17179965e-004 8.58212959e-004 2.19584538e+002
 1.40781811e+010 1.96870339e+026 3.34063856e+058 9.52891257e+122]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 2.44692765e-003 1.19581032e-004 1.25906033e-005
 1.35494353e-005 1.43028639e-004 6.82529710e-003 2.34044260e-004
 2.01438930e-004 1.06920570e-004 3.01036627e-003 5.28731905e-004
 8.34525956e-004 2.43831874e-003 2.44210215e-004 3.95547074e-004
 5.49590771e-004 3.25308553e-004 1.13490039e-003 2.84769525e-005
 8.58118074e-005 2.39685177e-004 9.25707351e-004 8.63368927e-004
 4.25335639e-004 4.01727789e-007 1.12714157e-003 3.64108908e-003
 5.69139394e-004 2.46629473e-004 3.14894897e-006 2.92694883e-003
 1.86688115e-006 2.73716793e-006 1.21117091e-003 6.53052373e-004
 5.63651166e-003 1.67008884e-004 1.71932903e-003 6.21729445e-003
 2.80198907e-005 2.07389531e-003 4.07497796e-004 1.52339884e-003
 4.56197186e-003 3.61293366e-005 5.24016344e-004 5.29306959e-004
 1.70219044e-005 5.23920844e-006 3.02438147e-004 4.91434750e-004
 3.07601093e-004 1.03406647e-004 1.64073160e-001 4.95963626e+002
 5.86815613e+012 1.49849663e+030 2.31355062e+065 8.74182446e+136]"
0.02785282490553176,0.7853981633974483,"[1.00000000e+000 6.54867623e-004 1.60421192e-004 2.52977498e-005
 4.97384628e-007 1.29592653e-005 1.62339187e-006 1.44980302e-003
 4.67100082e-004 1.00427479e-004 7.54073781e-005 2.33665332e-004
 2.95026178e-004 2.69223394e-007 5.27448686e-004 2.09728131e-004
 6.30289263e-005 1.96627288e-004 4.61354679e-005 5.18402260e-005
 1.33452849e-006 9.63592118e-004 5.33128984e-003 3.35932464e-003
 1.57081374e-003 2.40093670e-003 2.62765314e-004 6.14828421e-007
 2.55355154e-006 2.00763441e-003 4.32615844e-004 1.36421117e-004
 3.38941924e-004 1.26626692e-004 4.86676578e-006 2.89742866e-003
 5.26517313e-006 2.69053013e-004 2.29253528e-004 8.78238662e-005
 2.66077813e-004 2.48748417e-003 4.39802675e-003 7.45427020e-005
 1.41502101e-003 7.82780550e-006 5.47381369e-003 5.30456317e-005
 5.37102148e-005 3.67641154e-004 2.26573112e-004 7.62534367e-005
 6.10649324e-003 2.64020287e-004 1.66134097e+001 7.86445941e+005
 3.28519309e+017 1.80309087e+043 1.32461707e+092 1.57224684e+190]"
